27/08/2021,12:02:27,385,28.9,39.4,0.0,741.7
27/08/2021,12:02:28,386,28.6,39.3,0.0,741.7
27/08/2021,12:02:29,385,28.6,39.2,0.0,741.7
27/08/2021,12:02:30,384,28.9,39.2,0.0,741.7
27/08/2021,12:02:31,385,29.0,39.3,0.0,741.7
27/08/2021,12:02:32,387,29.1,39.3,0.0,741.7
27/08/2021,12:02:33,390,29.2,39.5,0.0,741.7
27/08/2021,12:02:34,394,29.3,39.6,0.0,741.7
27/08/2021,12:02:35,397,29.2,39.7,0.0,741.7
27/08/2021,12:02:36,398,29.0,39.6,0.0,741.7
27/08/2021,12:02:37,397,28.9,39.5,0.0,741.7
27/08/2021,12:02:38,396,29.0,39.4,0.0,741.7
27/08/2021,12:02:39,394,29.0,39.2,0.0,741.7
27/08/2021,12:02:40,392,29.0,39.1,0.0,741.7
27/08/2021,12:02:41,391,29.0,39.2,0.0,741.7
27/08/2021,12:02:42,390,29.0,39.2,0.0,741.7
27/08/2021,12:02:43,389,29.1,39.2,0.0,741.7
27/08/2021,12:02:44,388,29.1,39.2,0.0,741.7
27/08/2021,12:02:45,389,29.2,39.2,0.0,741.7
27/08/2021,12:02:46,388,29.3,39.2,0.0,741.7
27/08/2021,12:02:47,387,29.3,39.2,0.0,741.7
27/08/2021,12:02:48,387,29.4,39.3,0.0,741.8
27/08/2021,12:02:49,386,29.4,39.4,0.0,741.8
27/08/2021,12:02:50,387,29.5,39.4,0.0,741.7
27/08/2021,12:02:51,387,29.6,39.6,0.0,741.7
27/08/2021,12:02:52,388,29.6,39.6,0.0,741.7
27/08/2021,12:02:53,387,29.6,39.6,0.0,741.7
27/08/2021,12:02:54,389,29.6,39.7,0.0,741.7
27/08/2021,12:02:55,388,29.6,39.7,0.0,741.7
27/08/2021,12:02:56,389,29.5,39.8,0.0,741.7
27/08/2021,12:02:57,389,29.5,39.7,0.0,741.7
27/08/2021,12:02:58,391,29.5,39.6,0.0,741.7
27/08/2021,12:02:59,391,29.5,39.6,0.0,741.7
27/08/2021,12:03:00,393,29.5,39.6,0.0,741.8
27/08/2021,12:03:01,392,29.6,39.7,0.0,741.7
27/08/2021,12:03:02,392,29.6,39.7,0.0,741.7
27/08/2021,12:03:03,390,29.5,39.8,0.0,741.7
27/08/2021,12:03:04,389,29.4,39.6,0.0,741.6
27/08/2021,12:03:05,387,29.5,39.5,0.0,741.7
27/08/2021,12:03:06,387,29.5,39.4,0.0,741.8
27/08/2021,12:03:07,387,29.5,39.3,0.0,741.7
27/08/2021,12:03:08,386,29.6,39.2,0.0,741.7
27/08/2021,12:03:09,386,29.5,39.2,0.0,741.7
27/08/2021,12:03:10,384,29.5,39.1,0.0,741.7
27/08/2021,12:03:11,383,29.1,38.9,0.0,741.7
27/08/2021,12:03:12,384,29.2,38.9,0.0,741.7
27/08/2021,12:03:13,384,29.1,38.8,0.0,741.7
27/08/2021,12:03:14,384,29.2,39.0,0.0,741.7
27/08/2021,12:03:15,385,29.3,39.0,0.0,741.7
27/08/2021,12:03:16,386,29.3,39.0,0.0,741.7
27/08/2021,12:03:17,385,29.2,39.1,0.0,741.7
27/08/2021,12:03:18,384,29.3,39.2,0.0,741.7
27/08/2021,12:03:19,385,29.3,39.3,0.0,741.7
27/08/2021,12:03:20,383,29.4,39.3,0.0,741.7
27/08/2021,12:03:21,383,29.5,39.3,0.0,741.7
27/08/2021,12:03:22,384,29.4,39.3,0.0,741.7
27/08/2021,12:03:23,384,29.4,39.2,0.0,741.7
27/08/2021,12:03:24,383,29.4,39.2,0.0,741.8
27/08/2021,12:03:25,384,29.3,39.2,0.0,741.7
27/08/2021,12:03:26,384,29.3,39.2,0.0,741.7
27/08/2021,12:03:27,385,29.3,39.3,0.0,741.6
27/08/2021,12:03:28,383,29.4,39.4,0.0,741.7
27/08/2021,12:03:29,383,29.3,39.5,0.0,741.7
27/08/2021,12:03:30,383,29.4,39.5,0.0,741.7
27/08/2021,12:03:31,384,29.4,39.6,0.0,741.7
27/08/2021,12:03:32,384,29.4,39.5,0.0,741.7
27/08/2021,12:03:33,386,29.3,39.5,0.0,741.7
